"Report File:","C:\neuralmapper\PCB\NM-CAM\Rev2\NM-CAM (BOM).csv"
"Report Written:","Thursday, July 21, 2016"
"Project Path:","C:\neuralmapper\PCB\NM-CAM\Rev2\NM-CAM.prj"
"Design Path:","C:\neuralmapper\PCB\NM-CAM\Rev2\NM-CAM.pcb"
"Design Title:",""
"Created:","10/27/2015 8:50:46 AM"
"Last Saved:","7/20/2016 2:14:39 PM"
"Editing Time:","15779 min"
"Units:","mil (precision 1)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"C05","1","C0201_1n_25V","1n","Top","Murata","GRM033R71E102KA01D","Digikey","490-3184-1-ND","CAP CER 1000PF 25V X7R 0201","0.10"
"C03","1","C0201_1u_6.3V","1u","Top","Samsung","CL03A105KQ3CSNC","Digikey","1276-1323-1-ND","CAP CER 1UF 6.3V X5R 0201","0.36"
"C013","1","C0201_1u_6.3V","1u","Top","Samsung","CL03A105KQ3CSNC","Digikey","1276-1323-1-ND","CAP CER 1UF 6.3V X5R 0201","0.36"
"C06","1","C0402_10u_6.3V","10u","Top","Samsung","CL05A106MQ5NUNC","Digikey","1276-1451-1-ND","CAP CER 10UF 6.3V X5R 0402","0.60"
"C010","1","C0402_10u_6.3V","10u","Top","Samsung","CL05A106MQ5NUNC","Digikey","1276-1451-1-ND","CAP CER 10UF 6.3V X5R 0402","0.60"
"C01","1","C0603_22u_6.3V","22u","Top","Samsung","CL10A226KQ8NRNE","Digikey","1276-2867-1-ND","CAP CER 22UF 6.3V X5R 0603","0.33"
"C08","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C04","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C011","1","C01005_0.1u_6.3V","0.1u","Top","Samsung","CL02A104KQ2NNNC","Digikey","1276-1209-1-ND","CAP CER 0.1UF 6.3V X5R 01005","0.19"
"C07","1","C01005_10n_6.3V","10n","Top","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C02","1","C01005_10n_6.3V","10n","Top","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"C012","1","C01005_10n_6.3V","10n","Top","TDK","C0402X5R0J103K020BC","Digikey","445-5515-1-ND","CAP CER 10000PF 6.3V X5R 01005","0.24"
"REG01","1","CAT6219_3V3","","Top","ON Semiconductor","CAT6219-330TDGT3","Digikey","CAT6219-330TDGT3CT-ND","IC REG LDO 3.3V 0.5A TSOT23-5","0.97"
"FERR02","1","FERR","120","Top","TDK","MMZ1608B121C","Digikey","445-2164-1-ND","FERRITE CHIP 120 OHM 600MA 0603","0.10"
"FERR01","1","FERR","120","Top","TDK","MMZ1608B121C","Digikey","445-2164-1-ND","FERRITE CHIP 120 OHM 600MA 0603","0.10"
"U1","1","MT9V022_52BGA","","Bottom","Aptina","MT9V022IA7ATM","Arrow","MT9V022IA7ATM","MT9V022 52BGA","19.07"
"CONN","1","OMNETICS_PNZ_12_AA_SMT","","Top","Omnetics","A79623-001","Omnetics","A79623-001","OMNETICS PZN-12-AA","29.00"
"R00","1","R0201_0_1/20","0","Top","Vishay Dale","CRCW02010000Z0ED","Digikey","541-0.0AGCT-ND","RES 0.0 OHM 1/20W JUMP 0201 SMD","0.13"
"R02","1","R01005_1k_1/32W","1k","Top","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R03","1","R01005_1k_1/32W","1k","Top","Samsung","RC0402J102CS","Digikey","1276-3556-1-ND","RES SMD 1K OHM 5% 1/32W 01005","0.31"
"R04","1","R01005_1.5k_1/32W","1.5k","Top","Samsung","RC0402J152CS","Digikey","1276-3557-1-ND","RES SMD 1.5K OHM 5% 1/32W 01005","0.38"
"R05","1","R01005_1.5k_1/32W","1.5k","Top","Samsung","RC0402J152CS","Digikey","1276-3557-1-ND","RES SMD 1.5K OHM 5% 1/32W 01005","0.38"
"IN4","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN5","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN6","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN7","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN8","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN9","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN10","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN11","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN13","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN14","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN12","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN15","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN16","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN17","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN18","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN19","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN20","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN21","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN32","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP1","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP2","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP3","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP4","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"JP5","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN33","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN34","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"IN35","1","ROUND_PAD_18","","Top","","","","","Round pad","0.00"
"","49","","","","","","","","","54.39"
